OBJECTID,zip_code,totpop,popaf,popapi,poplat,popwht,popfgnborn,otherlang,hh_sp,hh_ch,hh_ave,age0_5,age6_11,age12_17,age18_24,age25_34,age35_44,age45_54,age55_64,age65plus,age0_17,Shape__Area,Shape__Length
1,95138,18889,3,47,17,29,39,53,6,53,3.35,10,11,9,6,12,19,17,10,6,30,0.00685708725951664,0.460882504586227
2,95120,37457,1,30,7,59,31,38,4,42,3.01,6,10,11,6,5,14,20,14,15,27,0.0106362776297299,0.758226746584481
3,95136,42989,5,28,28,35,32,45,10,38,2.79,9,8,7,8,18,16,13,10,10,24,0.0012467744941704,0.228163258768162
4,95123,62228,4,19,30,43,27,42,9,38,2.96,8,8,8,9,15,16,15,10,10,25,0.0021887338080606,0.302802576735005
5,94304,3627,2,28,5,62,33,37,,20,1.82,8,5,3,5,20,17,9,7,27,16,0.00171204995837217,0.377543537577332
6,94085,21247,2,35,37,24,47,64,9,38,2.95,10,6,6,9,26,16,12,8,6,22,0.000919695787051694,0.170394840517304
7,95148,45528,3,58,26,11,47,68,7,50,4,8,9,10,9,12,16,15,12,9,26,0.0025069302072642,0.266054365789089
8,95127,61325,2,21,59,16,42,67,8,46,3.81,9,9,9,11,15,14,13,10,10,27,0.00342801816428159,0.419025371962722
9,95119,9970,4,19,30,44,25,40,9,45,3.29,8,8,9,9,13,16,16,12,9,26,0.000744781816287116,0.165470471423226
10,95014,60717,1,63,4,29,51,63,5,48,2.86,7,10,10,6,9,18,17,10,12,27,0.00712342346562456,0.78094470796641
11,94043,28358,3,27,21,45,38,45,5,26,2.35,9,6,5,7,22,18,14,10,10,19,0.00281382293405942,0.319902084865922
12,95129,38720,1,58,7,30,50,63,3,44,2.85,7,9,9,7,11,17,18,10,12,25,0.00118772375695409,0.22661357054963
13,95128,34836,4,14,37,41,30,43,10,32,2.6,9,7,6,9,19,16,14,10,10,22,0.00102784216921317,0.20629312782338
14,95117,30067,5,21,35,36,38,54,11,39,2.91,10,8,6,10,19,16,14,8,9,24,0.000676930559223735,0.149673627499141
15,95037,45579,2,10,33,51,20,31,8,41,3.05,8,9,10,8,11,15,17,12,10,27,0.0643839788334218,2.16669556332841
