id,name,categories,referralId,hasPerk,location.lat,location.lng,location.labeledLatLngs,location.cc,location.city,location.state,location.country,location.formattedAddress,location.address,location.postalCode,location.crossStreet,venuePage.id,location.neighborhood,delivery.id,delivery.url,delivery.provider.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.icon.name
54cd6c94498e0db58a66f52b,Tous Les Jours,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648265,False,37.48902639066435,-121.92938745180665,"[{'label': 'display', 'lat': 37.48902639066435, 'lng': -121.92938745180665}]",US,Fremont,CA,United States,"['Fremont, CA', 'United States']",,,,,,,,,,,
527f0187498e4f765ccdeb74,"La More cafe, Inc.","[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648265,False,37.49250338177205,-121.93010235087354,"[{'label': 'display', 'lat': 37.49250338177205, 'lng': -121.93010235087354}]",US,Fremont,CA,United States,"['46292 Warm Springs Blvd', 'Fremont, CA 94539', 'United States']",46292 Warm Springs Blvd,94539,,,,,,,,,
4c9fb0262fb1a1432e1ef640,Sogo Bakery,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648265,False,37.49343480992922,-121.9300587703112,"[{'label': 'display', 'lat': 37.49343480992922, 'lng': -121.9300587703112}]",US,Fremont,CA,United States,"['46196 Warm Springs Blvd', 'Fremont, CA 94539', 'United States']",46196 Warm Springs Blvd,94539,,,,,,,,,
4e9ca981b803b7506d57ceb2,Baker's Goods,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648265,False,37.501542407101816,-121.9292920635311,"[{'label': 'display', 'lat': 37.501542407101816, 'lng': -121.9292920635311}]",US,,California,United States,"['California', 'United States']",,,,,,,,,,,
5934469293bd6364b4f23b41,Sheng Kee Bakery,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648265,False,37.493475,-121.930135,"[{'label': 'display', 'lat': 37.493475, 'lng': -121.930135}]",US,Fremont,CA,United States,"['46196 Warm Springs Blvd', 'Fremont, CA 94539', 'United States']",46196 Warm Springs Blvd,94539,,,,,,,,,
4cba2dfec7228cfac87815ce,Chaelsy Patissier,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648265,False,37.49061218,-121.92674308,"[{'label': 'display', 'lat': 37.49061218, 'lng': -121.92674308}]",US,Fremont,CA,United States,"['46529 Mission Blvd', 'Fremont, CA 94539', 'United States']",46529 Mission Blvd,94539,,,,,,,,,
4f32b3fb19836c91c7f16b3c,Diamond Bakery,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648265,False,37.496521,-121.949701,"[{'label': 'display', 'lat': 37.496521, 'lng': -121.949701}, {'label': '?', 'lat': 37.496433, 'lng': -121.950174}]",US,Fremont,CA,United States,"['45300 Industrial Pl', 'Fremont, CA 94538', 'United States']",45300 Industrial Pl,94538,,,,,,,,,
4f43de0719836ed00190fe59,Sogo Bakery,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648265,False,37.489079,-121.928998,"[{'label': 'display', 'lat': 37.489079, 'lng': -121.928998}]",US,Fremont,CA,United States,"['46875 Warm Springs Blvd', 'Fremont, CA 94539', 'United States']",46875 Warm Springs Blvd,94539,,,,,,,,,
4d4c8ba2a064a1cd09314c0d,Chaelsey Bakery and Cafe,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648270,False,37.483861,-121.932305,"[{'label': 'display', 'lat': 37.483861, 'lng': -121.932305}]",US,Fremont,CA,United States,"['Warm Springs (at Mission Blvd)', 'Fremont, CA 94538', 'United States']",Warm Springs,94538,at Mission Blvd,,,,,,,,
524ee6e911d2183319fd4e13,Catered Too,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648272,False,37.476225164817976,-122.13443316503421,"[{'label': 'display', 'lat': 37.476225164817976, 'lng': -122.13443316503421}]",US,East Palo Alto,CA,United States,"['East Palo Alto, CA', 'United States']",,,,,,,,,,,
